iter	Passed	Remaining
698	5994	2581
699	6003	2572
700	6011	2563
701	6019	2555
702	6028	2546
703	6036	2538
704	6044	2529
705	6052	2520
706	6060	2511
707	6069	2503
708	6077	2494
709	6085	2485
710	6093	2476
711	6103	2468
712	6111	2460
713	6119	2451
714	6127	2442
715	6136	2433
716	6144	2425
717	6153	2416
718	6161	2408
719	6169	2399
720	6177	2390
721	6185	2381
722	6194	2373
723	6203	2364
724	6211	2356
725	6220	2347
726	6228	2338
727	6236	2330
728	6244	2321
729	6252	2312
730	6261	2304
731	6270	2295
732	6278	2287
733	6286	2278
734	6294	2269
735	6303	2260
736	6310	2251
737	6318	2243
738	6326	2234
739	6334	2225
740	6342	2216
741	6350	2208
742	6360	2199
743	6368	2191
744	6377	2182
745	6384	2173
746	6392	2165
747	6400	2156
748	6409	2147
749	6417	2139
750	6426	2130
751	6434	2122
752	6443	2113
753	6451	2104
754	6459	2096
755	6468	2087
756	6476	2078
757	6484	2070
758	6492	2061
759	6501	2052
760	6509	2044
761	6517	2035
762	6526	2027
763	6534	2018
764	6542	2009
765	6550	2001
766	6558	1992
767	6567	1983
768	6575	1975
769	6583	1966
770	6591	1957
771	6598	1948
772	6606	1940
773	6615	1931
774	6623	1923
775	6633	1914
776	6642	1906
777	6649	1897
778	6658	1888
779	6667	1880
780	6675	1871
781	6683	1863
782	6692	1854
783	6700	1846
784	6709	1837
785	6717	1828
786	6726	1820
787	6733	1811
788	6742	1803
789	6749	1794
790	6758	1785
791	6767	1777
792	6776	1768
793	6784	1760
794	6793	1751
795	6803	1743
796	6812	1735
797	6821	1726
798	6829	1718
799	6838	1709
800	6846	1701
801	6856	1692
802	6864	1684
803	6873	1675
804	6881	1666
805	6889	1658
806	6899	1649
807	6907	1641
808	6915	1632
809	6924	1624
810	6932	1615
811	6941	1607
812	6950	1598
813	6957	1589
814	6966	1581
815	6975	1572
816	6983	1564
817	6991	1555
818	7000	1547
819	7008	1538
820	7017	1529
821	7025	1521
822	7034	1512
823	7043	1504
824	7052	1496
825	7061	1487
826	7069	1478
827	7078	1470
828	7087	1461
829	7095	1453
830	7104	1444
831	7112	1436
832	7121	1427
833	7129	1419
834	7137	1410
835	7146	1401
836	7154	1393
837	7161	1384
838	7170	1376
839	7178	1367
840	7187	1358
841	7195	1350
842	7204	1341
843	7212	1333
844	7221	1324
845	7228	1315
846	7236	1307
847	7245	1298
848	7253	1290
849	7262	1281
850	7270	1272
851	7278	1264
852	7286	1255
853	7294	1246
854	7302	1238
855	7311	1229
856	7319	1221
857	7327	1212
858	7335	1204
859	7343	1195
860	7351	1186
861	7360	1178
862	7369	1169
863	7377	1161
864	7386	1152
865	7395	1144
866	7403	1135
867	7411	1127
868	7419	1118
869	7428	1109
870	7436	1101
871	7444	1092
872	7453	1084
873	7461	1075
874	7470	1067
875	7478	1058
876	7487	1050
877	7495	1041
878	7503	1032
879	7512	1024
880	7521	1015
881	7530	1007
882	7539	998
883	7547	990
884	7555	981
885	7563	973
886	7571	964
887	7579	955
888	7586	947
889	7593	938
890	7602	930
891	7610	921
892	7618	912
893	7627	904
894	7635	895
895	7644	887
896	7652	878
897	7660	870
898	7669	861
899	7677	853
900	7685	844
901	7694	835
902	7703	827
903	7711	818
904	7720	810
905	7728	801
906	7737	793
907	7745	784
908	7754	776
909	7763	767
910	7771	759
911	7779	750
912	7787	742
913	7796	733
914	7804	725
915	7813	716
916	7820	707
917	7829	699
918	7837	690
919	7845	682
920	7854	673
921	7862	665
922	7871	656
923	7879	648
924	7887	639
925	7896	631
926	7904	622
927	7913	613
928	7921	605
929	7929	596
930	7938	588
931	7946	579
932	7955	571
933	7964	562
934	7972	554
935	7980	545
936	7988	537
937	7997	528
938	8005	520
939	8013	511
940	8022	502
941	8030	494
942	8038	485
943	8047	477
944	8054	468
945	8072	460
946	8092	452
947	8111	444
948	8127	436
949	8143	428
950	8153	420
951	8161	411
952	8170	402
953	8179	394
954	8188	385
955	8196	377
956	8204	368
957	8213	360
958	8222	351
959	8230	342
960	8238	334
961	8248	325
962	8256	317
963	8265	308
964	8273	300
965	8282	291
966	8290	282
967	8299	274
968	8307	265
969	8316	257
970	8324	248
971	8332	240
972	8341	231
973	8349	222
974	8358	214
975	8366	205
976	8375	197
977	8383	188
978	8392	180
979	8400	171
980	8409	162
981	8417	154
982	8426	145
983	8433	137
984	8442	128
985	8450	119
986	8459	111
987	8467	102
988	8475	94
989	8483	85
990	8491	77
991	8499	68
992	8507	59
993	8515	51
994	8524	42
995	8532	34
996	8540	25
997	8549	17
998	8559	8
999	8569	0
